Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Type,Individuals Affected,Name of Entity,Type of Breach,State Reported
"Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-19 00:00:00,,11/2017 - 1/2018,,22(in Maine,"OnePlus Technology (Shenzhen) Co., Ltd., 18/F, Block C, Tairan Building, No. 8 Tairan Rd., Futian District, Shenzhen, Guangdong, China 518000 (China)",,Maine
"Name, address and payment card information (card#, security code & exp. date)",2018-03-19 00:00:00,,5/15/17 - 1/30/18,,110(in Maine,Bronson Nutritionals LLC,,Maine
Name or other personal identifier in combination with SSN,2018-03-16 00:00:00,,2/22/18-2/23/18,,1(in Maine,"Clarfeld Financial Advisors, 520 White Plains Road, Tarrytown, NY 10591",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the accoun",2018-03-15 00:00:00,,11/1/17-2/14/18,,4(in Maine,"Island Outdoor, LLC, 47 Mall Drive, Suite 4, Commack, NY 11725",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number",2018-03-14 00:00:00,,On or before 2/25/18,,1(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA 94043",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number state ID numbers, medical information and health insurance numbers",2018-03-13 00:00:00,,Supplement to 11/14/17 Notice,,Additional 4 Maine residents(in Maine,"ABM Industries Incorporated, One Liberty Plaza, 7th Floor, New York, NY 10006",,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,2(in Maine,"Buffalo Jackson Trading Co., LLC",,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,10(in Maine,Chipolte FOS Only,,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,1(in Maine,CiCi's Pizza,,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,3(in Maine,North 40 Outfitters,,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,27(in Maine,Tennis Express,,Maine
Not specifed,2018-03-13 00:00:00,,2018-02-19 00:00:00,,7(in Maine,"CNU Online Holdings LLC, d/b/a NetCredit, 175 W. Jackson Blvd., Suite 1000, Chicago, IL 60604",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-13 00:00:00,,6/1/2017 (discovered 1/23/18),,2(in Maine,"Rotary International, One Rotary Center, 1560 Sherman Avenue, Evanston, IL 60201",,Maine
Name or other personal identifier in combination with SSN,2018-03-09 00:00:00,,2018-03-02 00:00:00,,2(in Maine,"Quanta Technology, LLC, 4020 Westchase Blvd, Suite 300, Raleigh, NC 27607",,Maine
Name or other personal identifier in combination with SSN,2018-03-09 00:00:00,,2018-02-09 00:00:00,,1(in Maine,"Nova Southeastern University, 3301 College Ave., Fort Lauderdale, FL 33314",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-07 00:00:00,,Discovered 1/2/18,,2(in Maine,"Chopra Enterprises, LLC, 2013 Costa Del Mar Road, Carlsbad, CA 92009",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-06 00:00:00,,"12/1/2017, (discovered 1/12/18)",,3(in Maine,"California  State University, 5241 N. Maple Ave., Fresno, CA 93740",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-06 00:00:00,,10/27/17-12/23/17,,6(in Maine,"Interstate Plastics, Inc., 330 Commerce Circle, Sacramento, CA 95815",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-05 00:00:00,,2/2-2/6/18,,2(in Maine,"Citizens Financial Group, 100 Sockanosset Crossroad, Cranston, RI 02920 (email)",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number",2018-03-05 00:00:00,,On or before 2/6/18,,2(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA 94043  ",,Maine
"Name, address, birthdate, SSN and financial account information",2018-03-02 00:00:00,,Discovered 2/7/18,,2(in Maine,"Fairchild Maddox & Leonidas, Ltd",,Maine
"Payment card information including the cardholder's name, credit/debit card number, and expiration date and, potentially, card verification codes.",2018-03-02 00:00:00,,June 2016 - Nov 2017,,12(in Maine,Preferred Hotels & Resorts,,Maine
"Name, address, SSN and earnings information",2018-03-02 00:00:00,,2018-02-08 00:00:00,,2(in Maine,"ICF, 9300 Lee Highway, Fairax, VA 22031",,Maine
"Name, and in certain circumstances, SSN and/or driver's license numbers.",2018-03-01 00:00:00,,Discovered 1/15/18,,2(in Maine,Centris FCU ,,Maine
Name and either full SSN or last 4 digits of SSN,2018-03-01 00:00:00,,Discovered 2/2/18,,9(in Maine,"Beachbody,LLC, ",,Maine
Name or other personal identifier in combination with SSN,2018-03-01 00:00:00,,10/14/17-12/8/17 (discovered 1/5/18),,2(in Maine,"Ventiv Technology, Inc., 3350 Riverwood Parkway, 20th Floor, Atlanta, GA 30339",,Maine
Name or other personal identifier in combination with SSN,2018-02-28 00:00:00,,2018-01-31 00:00:00,,8(in Maine,"ASI Constructors, Inc., 280 East 20th Avenue, Denver, CO 80205",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-27 00:00:00,,8/14/17-8/18/17 (discovered 11/2/17),,881(in Maine,"FastHealth Corporation, 1001 23rd Ave., Suite C, Tuscaloosa, AL 35401",,Maine
Customer credit card information,2018-02-21 00:00:00,,"Discovered around Dec 18, 2017",,Not specified(in Maine,"Makeup Geek, LLC",,Maine
Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,3(in Maine,Boulder Running Co.,,Maine
Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,2(in Maine,"Direct Sports, Inc.",,Maine
Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,2(in Maine,Makeup Certifications,,Maine
Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,1(in Maine,Market@work 2067379149,,Maine
Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,3(in Maine,The Re-Think Group,,Maine
Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,8(in Maine,Wet N Wild Beauty,,Maine
Name or other personal identifier in combination  with SSN,2018-02-26 00:00:00,,2018-01-19 00:00:00,,1(in Maine,"California College of the Arts, 1111 Eighth Street, San Francisco, CA 94107",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-26 00:00:00,,11/8/17-1/4/18,,1(in Maine,"Bed Bath & Beyond, Inc., 650 Liberty Avenue, Union, NJ 07083",,Maine
"Name, address, payment card number, expiration date and CVV code",2018-02-22 00:00:00,,"11/5-28, 2017",,Not specified(in Maine,"Cruzstar LLC, 453 Lincoln Street, Suite 102, Carlisle, PA 17013",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-23 00:00:00,,12/13/16 - 9/25/17 (Discovered 1/25/18),,1(in Maine,"Active Network, 717 North Harwood Street, Suite 2500, Dallas, TX 75201",,Maine
Name or other personal identifier in combination with SSN,2018-02-22 00:00:00,,2017-12-17 00:00:00,,2(in Maine,"Santa Cruz Biotechnology, Inc., 10410 Finnell Street, Dallas, TX 75220",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-02-15 00:00:00,,6/27/16-12/21/17 (discovered 12/21/17),,32(in Maine,"LendKey Technologies, Inc., 104 W 27th Street, Floor 4, NY, NY 10001",,Maine
"Name, address, SSN, bank account or credit card information, and health insurance information for a limited number of employees",2018-02-14 00:00:00,,Discovered 1/3/18,,4(in Maine,Engle Martin & Associates,,Maine
Name or other personal identifier in combination with SSN,2018-02-14 00:00:00,,10/12/17-12/12/17,,13(in Maine,"Norwich Commercial Group, Inc., d/b/a Norcom Mortgage (""Norcom""), 38 Security Drive, Avon, CT 06001",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-13 00:00:00,,11/21/17-12/8/17 (discovered 2/6/18),,1(in Maine,"Bed Bath & Beyond, Inc., 650 Liberty Avenue, Union, NJ 07083",,Maine
"Name, phone number, OneMain loan account number, OneMain Rewards Account, and typle of insurance purchased for a OneMain loan account, if applicable",2018-02-09 00:00:00,,9/1/17-1/16/18,,2(in Maine,OneMain Financial,,Maine
Name or other personal identifier in combinaiton with SSN,2018-02-09 00:00:00,,2018-01-25 00:00:00,,68(in Maine,"Kinetics Systems, Inc., 3083 Independence Drive, Livermore, CA 94511",,Maine
Name or other personal identifier in combination with SSN,2018-02-08 00:00:00,,2018-01-26 00:00:00,,2(in Maine,"Corporate Employment Resources, Inc., 27777 Franklin Road, Suite 600, Southfield, MI 48034",,Maine
Name or other personal identifier in combination with SSN,2018-02-08 00:00:00,,Unknown (discovered 1/18/18),,4(in Maine,"Ameriprise Financial, Inc., 707 2nd Ave. S., Minneapolis, MN 55474",,Maine
Name and SSN,2018-02-07 00:00:00,,"""Recently discovered"" exact date Not specified",,1(in Maine,"TrueNet Communications, Inc. 7666Blanding Blvd, Jacksonville, FL 32244",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-07 00:00:00,,"11/2016, (discovered 1/13/17)",,1(in Maine,"Investment Professionals, Inc., 16414 San Pedro Ave., Suite 300, San Antonio TX 78232",,Maine
Name or other personal identifier in combination with SSN,2018-02-06 00:00:00,,2018-02-05 00:00:00,,103(in Maine,"County of Waldo Commissioner's Office, 39B Spring Street, Belfast, Maine 04915",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-05 00:00:00,,Discovered 1/18/18,,1(in Maine,"Blink Health, LLC, 375 W. Broadway, 2nd Floor, New York, NY 10012",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-05 00:00:00,,9/21/17-10/29/17,,8(in Maine,"1st Mariner Bank, 3301 Boston Street, Baltimore, MD 21224",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-02-05 00:00:00,,2017-12-22 00:00:00,,Approx. 130(in Maine,"PAR Electrical Contractors, Inc., 4770 N. Belleview Ave., Ste 300; Kansas City, MO 64116",,Maine
See original notice dated 12/22/17,2018-02-02 00:00:00,,See original notice dated 12/22/17,,Additional 126 Maine Residents(in Maine,"TIO Networks USA, Inc. on behelf of Bank of America, PageOnce, Southern Management Corporation",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-02 00:00:00,,4/29/17-1/12/18,,58(in Maine,"Advanced Graphic Products, Inc. d/b/a Advanced-Online, 750 Gateway Blvd, Coppell, TX 75019",,Maine
Name or other personal identifier in combination withy SSN,2018-02-02 00:00:00,,2018-01-24 00:00:00,,1(in Maine,"Make-up Designory, 25311 Avenue Stanford, Valencia, CA 91355",,Maine
Name or other personal identifier in combination with SSN,2018-02-02 00:00:00,,3/2/17 (Discovered 8/30/17),,1(in Maine,"The Valerie Fund, 2101 Millburn Avenue, Maplewood, NJ 07040",,Maine
See 12/22/17 notice,2018-02-02 00:00:00,,Supplement to 12/22/17 Notice,,126 addit'l consumers(in Maine,"Tio Networks, 2211 N 1st St, San Jose, CA 95131 (with Bank of America, PageOnce & Southern Management Corporation)",,Maine
Name or other personal identifier in combination with SSN,2018-02-02 00:00:00,,2018-01-18 00:00:00,,1(in Maine,"Eastern Salt Company, Inc., 134 Middle Street, Suite 210; Lowell, MA 01852",,Maine
Account numbers and SSN or Tax ID numbers,2018-02-01 00:00:00,,2017-11-30 00:00:00,,2(in Maine,"Belmont Savings Bank, 2 Leonard Street, Belmont, MA 02478",,Maine
Name or other personal identifier in combination with SSN,2018-02-01 00:00:00,,10/14/17-12/8/17 (discovered 1/5/18),,1(in Maine,"Ventiv Technology, Inc., 3350 Riverwood Parkway, 20th Floor, Atlanta, GA 30339",,Maine
Name and SSN,2018-01-24 00:00:00,,2017-11-26 00:00:00,,3(in Maine,Saginaw Valley State University,,Maine
Name and SSN,2018-01-19 00:00:00,,Discovered 7/28/17,,1(in Maine,Rogin Nassau LLC,,Maine
"Name or other personal identifier in combination with SSN & financial account number or credit or debit card number, in combination with security code, access code, password or PIN for the account",2018-01-26 00:00:00,,12/19/17-1/2/18,,3(in Maine,"Pentair Aquatic Eco Systems, Inc., 2395 Apopka Blvd, Apopka, FL 32703",,Maine
See 10/31/17 notice,See 10/31/17 notice,,See 10/31/17 notice,,Discovered one additional Maine resident(in Maine,"Southern National Bancorp of Virginia, Inc., d/b/a Sonabank, 10900 Nuckols Road, Suite 325, Glen Allen, VA 23060",,Maine
"Name or other personal identifier in combination with SSN & financial account number or credit or debit card number, in combination with security code, access code, password or PIN for the account",2018-01-26 00:00:00,,Discovered 10/31/17,,2(in Maine,"Goldleaf Partners Services, Inc., 8009 34th Avenue S. Suite 320, Bloomington, MN 55425",,Maine
Discover Card account information,2018-01-24 00:00:00,,2017-12-01 00:00:00,,1(in Maine,Gourmesso ,,Maine
"Guest name and payment card information (cardholder name, payment card number, exp date and security code)",2018-01-19 00:00:00,,5/29/16 to 1/11/17 (discovered Dec 2017),,8(in Maine,Rosewood Hotel Group,,Maine
"Name, address, birthdate, SSN, financial account information & protected health information.",2018-01-19 00:00:00,,Discovered 11/21/17,,12(in Maine,"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.(Rockville, MD)",,Maine
"Demographic info, medication and clinical info, health insurance info and SSN.  Some may have had their financial account info impacted as well.",2018-01-12 00:00:00,,Discovered 11/14/17,,135(in Maine,PharMerica Corporation,,Maine
Name or other pesonal identifier in combination with SSN ,2018-01-19 00:00:00,,Approx 12/28/17,,3(in Maine,"Mindlance, Inc., 1095 Morris Ave., Suite 101A, Union, NJ 07083",,Maine
Name or other pesonal identifier in combination with SSN and Driver's license number or non-driver ID number,2018-01-18 00:00:00,,"September 14, 2017 and 9/18/17 (discovered 10/17/17)",,1(in Maine,"Employer Leasing Company, 12375 Kerran Street, Poway, CA 92064",,Maine
"Name or other pesonal identifier in combination with SSN and  financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-01-16 00:00:00,,2017-09-18 00:00:00,,10(in Maine,"Pension  Fund of the Christian Church, 1099 N. Meridian St., Ste 700, Indianapolis, IN 46204",,Maine
Name or other pesonal identifier in combination with SSN ,2018-01-16 00:00:00,,2017-10-12 00:00:00,,23(in Maine,"Pension  Fund of the Christian Church, 1099 N. Meridian St., Ste 700, Indianapolis, IN 46204",,Maine
Name or other personal identifier in combination with SSN,2018-01-12 00:00:00,,2017-11-01 00:00:00,,2(in Maine,"Monticellow Central School District, 237 Forestburgh Road, Monticellow, NY 12701",,Maine
"Name or other pesonal identifier in combination with SSN, Driver's license number or non-driver ID number and  financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-01-12 00:00:00,,6/9/17-10/2/17,,557(in Maine,"Guaranteed Rate, Inc., 3940 N. Ravenswood, Chicago, IL 60613",,Maine
Account usernames and passwords,2017-12-22 00:00:00,,12/19/17-12/26/17,,Unknown(in Maine,"PetSmart, Inc., 19601 N. 27th Avenue, Phoenix, AZ 85027",,Maine
Name or other personal identifier in combination with SSN,2018-01-10 00:00:00,,7/18/17-9/8/17,,15(in Maine,"Broward College, 111 East Las Olas Boulevard, Fort Lauderdale, FL 33301",,Maine
Name or other Personal identifier in combination with SSN,2018-01-08 00:00:00,,2017-11-08 00:00:00,,11(in Maine,"Cetera Advisors, LLC, 4600 South Syracuse Street, Suite 600, Denver, CO 80237",,Maine
"Name or other personal identifier in combination with SSN, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-01-05 00:00:00,,3/2017-12/2017,,3(in Maine,"Northeast Arc, 1 Southside Road, Danvers, MA 01923",,Maine
"Name or other personal identifire in combination with SSN, Driver's license number or non-driver ID number",2017-12-29 00:00:00,,2017-10-19 00:00:00,,9(in Maine,"Mid-Atlantic Carpenters' Training Center, 8510 Pennsylvania Ave, Upper Marlboro, MD 20772",,Maine
"Name, SSN and tax information",2017-12-29 00:00:00,,2017-09-01 00:00:00,,9(in Maine,"James Rinaldi, CPA",,Maine
Name or other personal identifier in combination with SSN,2017-12-27 00:00:00,,Unknown (discovered 10/17/16),,3(in Maine,"Sunshine Lady Humanitarian Grants Program Inc., dba Letters Foundation, 292 Newbury Street, Suite 503, Boston, MA 02115",,Maine
"Name, contact information and subscriber/billing account numbers (also payment card info, bank acct info, SSN and other government ID numbers and account usernames and passwords.",2017-12-22 00:00:00,,Dating back to atleast 2014 (discovered 12/12/17),,Estimated 336(in Maine,"Tio Networks, Return Mail Processing, P.O.Box 51484, Livonia, MI 48151-5484",,Maine
"User accounts, including email addresses used to log-in to TeenShieldk, PhoneSheriff and Net Orbit as well as passwords to access those accounts.",2017-12-19 00:00:00,,2/21/17 (discovered 4/27/17),,9(in Maine,"Retina-X Studios, LLC, 731 Duval Station Road, Suite 107203, Jacksonville, FL 32218",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver ID number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-12-19 00:00:00,,4/2017-8/2017 (discovered 12/11/17),,1(in Maine,"Dun & Bradstreet, Inc., 103 JFK Parkway, Short Hills, NJ 07078",,Maine
Name or other personal identifier in combination with SSN,2017-12-19 00:00:00,,2017-12-12 00:00:00,,1(in Maine,"STP Nuclear Operating Company, PO Box ?, Wadsworth, TX 77483",,Maine
Name or other personal identifier in combination with SSN,2017-12-18 00:00:00,,1/31/17-9/19/17 (discovered 11/1/17),,1(in Maine,"Connecticut Players Foundation, Inc., d/b/a Long Wharf Theatre, 222 Sargent Drive, New Haven, CT 06511",,Maine
Discover card account information may have been compromised.,2017-12-15 00:00:00,,Nov. 2017,,6(in Maine,HK Parts,,Maine
Discover card account information may have been compromised.,2017-12-15 00:00:00,,Nov. 2017,,56(in Maine,The Eastwood Company,,Maine
Name or other personal identifier in combination with SSN,2017-12-15 00:00:00,,2017-11-28 00:00:00,,1(in Maine,"Houghton Mifflin Harcourt Publishing Company, 125 High Street, Boston, MA 02110",,Maine
"Name or other personal identifire in combination with SSN, Driver's license number or non-driver ID number",2017-12-15 00:00:00,,9/5/17-10/26/17 (discovered 11/28/17),,1(in Maine,"New Penn Financial LLC, 4000 Chemical Road, Suite 200, Plymouth Meeting, PA 19462",,Maine
Name or other personal identifier in combination with SSN,2017-12-14 00:00:00,,2017-11-05 00:00:00,,6(in Maine,"Arcadis U.S. Inc,, 630 Plaza Drive, Suite 100, Highlands Ranch, CO 80129",,Maine
Name or other personal identifier in combination with SSN,2017-12-08 00:00:00,,9/13/17-9/28/17,,34(in Maine,"WEI Mortgage, LLC, 4000 Midlantic Drive, Suite 102, Mount Laurel, NJ 08054",,Maine
"Malicious software thru Gorilla GEMS Inc. Compromised info was Name, billing and shipping address, credit card information, and contact informaiton used in connection with orders placed",2017-12-07 00:00:00,,Between 6/22/17 and 8/15/17,,14(in Maine,MFTstamps.com; ,,Maine
"Name or other personal identifire in combination with SSN, Driver's license number or non-driver ID number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-12-06 00:00:00,,Discovered 7/6/17,,4(in Maine,"Bennington-Rutland Supervisory Union, 6378 Vermont Route 7A, Sunderland, VT 05250",,Maine
Name or other personal identifier in combination with SSN,12/4/17 (Law enf notification in place until 11/28/17),,"July 3-4, 2017 (discovered 7/12/17)",,1(in Maine,"Hayden, Narey & Persich, 2340 S El Camino Real, #15, San Clemente, CA 92672",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-12-01 00:00:00,,6/15/16-11/6/17,,132(in Maine,"JAM Paper & Envelope, 185 Legrand Avenue, Northvale, NJ 07647",,Maine
See prior notice in Nov 2017,2017-12-01 00:00:00,,Update to 11/21/17 notice,,Total of 381 drivers in Maine(364 notified by mail and 17 by email)(in Maine,"Uber Technologies, Inc., 1455 Market Street, San Francisco, CA 94103",,Maine
Name or other personal identifier in combination with SSN,2017-12-01 00:00:00,,8/30/2017 (discovered 10/2/17),,2(in Maine,"IH Mississippi Valley Credit Union (""IHMVCU"") 2121 47th St., Moline, IL 61265",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-11-30 00:00:00,,9/11/17-11/3/17,,6(in Maine,"Grass Advantage, LLC (d/b/a Amazing Grass), 230 Newport Center Drive, Ste 300, Newport Beach, CA 92260",,Maine
"Name, address, email address and payment card information",2017-11-29 00:00:00,,Between 7/26/17 and 8/9/17,,1(in Maine,"Nutrex Hawaii, Inc.",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-11-29 00:00:00,,Update to 4/17/17 notice stating the breach continuted until 10/6/17,,35(in Maine,"Combat Brands, LLC, 15850 West 108th Street, Lenexa, KS 66219",,Maine
Name or other personal identifier in combination with SSN,2017-11-28 00:00:00,,2017-10-19 00:00:00,,1(in Maine,"Lincoln National Life Insurance Company, 1300 S. Clinton Street, Fort Wayne, IN 46802",,Maine
"Name, address, phone number, birthdate, SSN, health insurance info and medical records",2017-11-28 00:00:00,,Discovered 9/26/17,,1(in Maine,"Pulmonary Specialists of Louisville, PSC",,Maine
Name or other personal identitier in combination with SSN,2017-11-21 00:00:00,,2016-10-18 00:00:00,,4(in Maine,"Baylor College of Medicine, One Baylor Plaza, Houston, TX 77030",,Maine
Not specified (just says it was a phishing scam.),2017-11-21 00:00:00,,10/1/2017(discovered 10/19/17),,3(in Maine,"Randolph Savings Bank, 10 Cabot PL, Stoughton, MA 02072",,Maine
Name or other personal identifier in combination with Driver's license number or non-driver identification card number,2017-11-21 00:00:00,,10/13-11/15/16,,At least 340(will update)(in Maine,"Uber Technologies, Inc., 1455 Market Street, San Francisco, CA 94103",,Maine
Name or other personal identifier in combination with financial account number or credit or debit card number. Security code was NOT collected,2017-11-20 00:00:00,,8/10/16-3/9/17 (discovered 6/6/17),,4(in Maine,"JRK Hotel Group, 1176 Wilshire Boulevard, Ste. 1500, Los Angeles, CA 90025",,Maine
Discover card information compromised,2017-11-20 00:00:00,,2017-10-01 00:00:00,,35(in Maine,39DollarGlasses.com,,Maine
Discover card information compromised,2017-11-20 00:00:00,,2017-10-01 00:00:00,,2(in Maine,Char Broil,,Maine
Discover card information compromised,2017-11-20 00:00:00,,2017-10-01 00:00:00,,5(in Maine,Classic Firearms,,Maine
Discover card information compromised,2017-11-20 00:00:00,,2017-10-01 00:00:00,,83(in Maine,Dailysale.com,,Maine
Discover card information compromised,2017-11-20 00:00:00,,2017-10-01 00:00:00,,1(in Maine,ICSC,,Maine
Discover card information compromised,2017-11-20 00:00:00,,2017-10-01 00:00:00,,2(in Maine,Minnesotaworkwear.com,,Maine
Discover card information compromised,2017-11-20 00:00:00,,2017-10-01 00:00:00,,7(in Maine,Pure Prescriptions,,Maine
Discover card information compromised,2017-11-20 00:00:00,,2017-10-01 00:00:00,,14(in Maine,Spark Pay Online,,Maine
Discover card information compromised,2017-11-20 00:00:00,,2017-10-01 00:00:00,,7(in Maine,Wet N Wild Beauty,,Maine
Name or other personal identifier in combination with SSN,2017-11-14 00:00:00,,2017-10-17 00:00:00,,1(in Maine,"USA Hoist Company, Inc., Mid-American Elevator Company, Inc. and Mid-American Elevator Equipment Company, Inc., 820 North Wilcott Ave., Chicago, IL 60622",,Maine
Name or other personal identifier in combination with SSN,2017-11-14 00:00:00,,Discovered 8/1/17,,1(in Maine,"ABM Industries Incorporated, One Liberty Plaza, 7th Floor, New York, NY 10006",,Maine
Name or other personal identifier in combination with SSN,2017-11-13 00:00:00,,"July, 2015",,1(in Maine,"GCI Communications Corp., 2550 Denali Street, Suite 1000, Anchorage, AK 99503-2751",,Maine
Name or other personal identifier in combination with SSN,2017-11-13 00:00:00,,2017-09-21 00:00:00,,1886(in Maine,"State of Maine Department of Health and Human Services, 11 State House Station, Augusta, Maine 04333",,Maine
Name or other personal identifier in combination with Driver's license number or non-driver identification card number.,2017-11-10 00:00:00,,2017-09-29 00:00:00,,2(in Maine,"City of Holly Springs, 3237 Holly Springs Parkway, Holly Springs, GA 30115",,Maine
"Name, address, financial account number, in combination with security code, access code, password, or PIN for the account",2017-11-09 00:00:00,,2017-10-23 00:00:00,,3(in Maine,"SallieMae, 300 Continental Drive, Newark, DE 19713 (SmartyPig LLC d/b/a Q2 Labs)",,Maine
Name or other personal identifier in combination with SSN,2017-11-13 00:00:00,,6/18/17-9/19/17 (discovered 9/21/17),,47(in Maine,"Gallagher NAC, 16476 Wild Horse Creek Road, Chesterfield, MO 63017",,Maine
Name or other personal identifier in combination with SSN,2017-11-07 00:00:00,,2017-06-26 00:00:00,,1(in Maine,"Little River Healthcare - Central Texas, LLC d/b/a Little River Waco Ear Nose and Throat",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-11-06 00:00:00,,Nov. 2016 (Discovered Aug 2017),,4(in Maine,"Memory4Less, 1504 W. Commonwealth Ave., Fullerton, CA 92833",,Maine
Name or other personal identifier in combination with SSN,2017-11-03 00:00:00,,2017-06-27 00:00:00,,2(in Maine,"North American Title Company, 760 Northwest 107th Avenue, Suite 400, Miami, FL 33172",,Maine
Name or other personal identifier in combination with SSN,2017-11-03 00:00:00,,Discovered 9/7/17,,399(in Maine,"Tween Brands, Inc., 8323 Walton Parkway, New Albany, OH 43054",,Maine
"Name, SSN, address, medical info, employment info, driver's license info, settlement documentation and date of birth",2017-11-03 00:00:00,,On or about 9/19/17,,Not specified(in Maine,"Wilbraham, Lawler & Buba, ",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-11-01 00:00:00,,8/25/17-9/15/17,,5(in Maine,"Rain Bird Corporation, 970 West Sierra Madre Ave., Azusa, CA 91702",,Maine
"Name or other personal identifier in combination withSSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-31 00:00:00,,6/24/17-8/26/17,,7(in Maine,"Southern National Bancorp of Virginia, Inc., d/b/a Sonabank, 10900 Nuckols Road, Suite 325, Glen Allen, VA 23060",,Maine
"Name or other personal identifier in combination withSSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-30 00:00:00,,5/15/17-7/26/17 (Discovered 7/23/17),,Fewer than 10(in Maine,"Home Box Office, Inc., 1100 Avenue of the Americas, New York, NY 10036",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the accoun",2017-10-25 00:00:00,,5/29/17-8/25/17,,16(in Maine,"Interstate Plastics, Inc., 3299 Ramos Circle, Sacramento, CA 95827",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-24 00:00:00,,Discovered 10/11/17,,1(in Maine,"Advisory Research180 North Stentson Avenue, Suite 5500, Chicago, IL 60601",,Maine
