Name of Entity,Start Date of Breach,Individuals Affected,State Reported,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Industry,Parent Company,Website,End Date of Breach,Link to PDF,Location of Breached Information,Reported Date,Type of Breach,Source(s)
Sears Holdings Vendor Security Incident Notice To Consumers,Not Specified,,{'Vermont'},UNK,2018-04-25 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/04/25/sears-holdings-vendor-security-incident-notice-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"Sears Holdings,",2018-04-24 00:00:00,,{'New Hampshire'},UNK,,,"April 24, 2018",Retail,,searsholdings.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/sears-20180424.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Sears Holdings,",2017-09-27 00:00:00,,{'Washington'},UNK,,,09/27/2017 to 10/12/2017,Retail,,searsholdings.com,2017-10-12 00:00:00,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SearsHoldings.2018-04-24.pdf,,2018-04-24 00:00:00,7,"{""{'https://www.atg.wa.gov/data-breach-notifications'}"", '{""{\'https://www.atg.wa.gov/data-breach-notifications\'}""}'}"
Seattle Chocolates Company,2015-09-29 00:00:00,1.0,{'Montana'},UNK,,,9/29/2015-11/2/2015,,,,2015-11-02, https://media.dojmt.gov/wp-content/uploads/Seattle-Chocolates-Company.pdf ,,2015-11-16,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Seattle Housing Authority,2019-01-07 00:00:00,,{'Washington'},['name'],,,01/07/2019,,,,,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SeattleHousingAuthority.2019-02-22.pdf,,2019-02-22 00:00:00,1,"{""{'https://www.atg.wa.gov/data-breach-notifications'}"", '{""{\'https://www.atg.wa.gov/data-breach-notifications\'}""}'}"
Seattle Housing Authority,Unspecified,,{'Washington'},"['name', 'date of birth', 'gender', 'credit card', 'email', 'phone number', 'address', 'insurance']",,,Unspecified,,,,,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SeattleHousingAuthority.2017-04-25.pdf,,2017-04-25 00:00:00,4,"{'{""{\'https://www.atg.wa.gov/data-breach-notifications\'}"", \'https://www.atg.wa.gov/data-breach-notifications\'}'}"
Seattle Housing Authority (update),2019-01-07 00:00:00,,{'Washington'},"['license', 'name', 'payment', 'financial', 'email', 'address']",,,01/07/2019,,,,,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SeattleHousingAuthority-Updated.2019-03-22.pdf,,2019-03-19 00:00:00,5,"{""{'https://www.atg.wa.gov/data-breach-notifications'}"", '{""{\'https://www.atg.wa.gov/data-breach-notifications\'}""}'}"
Seattle Indian Health Board,2016-08-10 00:00:00,,{'Washington'},"['credit card', 'login', 'password', 'email', 'address']",,,08/10/2016,,,,,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SeattleIndianHealthBoard.2017-05-10.pdf,,2017-05-09 00:00:00,1,"{""{'https://www.atg.wa.gov/data-breach-notifications'}"", '{""{\'https://www.atg.wa.gov/data-breach-notifications\'}""}'}"
"Seattle University,",2014-04-15 00:00:00,,{'New Hampshire'},UNK,,,"April 15, 2014",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/seattle-university-20140415.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Seattle University,",2014-07-17 00:00:00,,{'New Hampshire'},UNK,,,"July 17, 2014",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/seattle-university-20140717.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Sebastopol Sea Serpents,2013-10-13 00:00:00,,{'California'},UNK,,,10/13/2013,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-43360,,2013-11-25,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Securitas Security Services,",2007-05-30 00:00:00,,{'New Hampshire'},UNK,,,"May 30, 2007",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/securitas-security-20070530pdf.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Securities America Inc,2016-09-25 00:00:00,315.0,{'Indiana'},UNK,2016-10-06,,2016-09-25 00:00:00,Investment services,,www.ladenburg.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Securities America,",2017-09-01 00:00:00,,{'New Hampshire'},UNK,,,"September 01, 2017",Private Equity,,securities.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/securities-america-20170901.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Securities And Exchange Commission (sec),2017-09-21 00:00:00,,{'New Jersey'},UNK,,,"SEPTEMBER 21, 2017",,,,,,,,7,"{'{\'{""{\\\'https://www.cyber.nj.gov/data-breach-notifications/\\\'}""}\'}'}"
Security National Mortgage Company,2018-05-04 00:00:00,1631.0,{'Indiana'},UNK,2018-09-11,,2018-05-04 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Securus Technologies,2018-05-15 00:00:00,5.0,{'Montana'},UNK,,,5/15/2018-5/16/2018,"Corrections, telecommunications",,,2018-05-16, https://media.dojmt.gov/wp-content/uploads/Securus.pdf ,,2018-06-08,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Securus Technologies, Inc.,",2018-06-08 00:00:00,,{'New Hampshire'},UNK,,,"June 08, 2018","Corrections, telecommunications",,,,https://www.doj.nh.gov/consumer/security-breaches/documents/securus-technologies-20180608.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Securus Technologies, Inc.,",2018-05-15 00:00:00,1700.0,{'Indiana'},UNK,,,2018-05-15 00:00:00,"Corrections, telecommunications",,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Sedgwick Claims Management Services, Inc.,",2013-05-06 00:00:00,,{'New Hampshire'},UNK,,,"May 06, 2013",Financial services:private equity(1976–present)investment banking(2004–present),,www.kkr.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/sedgwick-claims-20130506.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Sedgwick Claims Management Services, Inc./impairment Resources,",2012-03-20 00:00:00,,{'New Hampshire'},UNK,,,"March 20, 2012",,,fcgov.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/impairment-sedgwick-20120320.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Seibels Bruce Group,",2008-12-22 00:00:00,,{'New Hampshire'},UNK,,,"December 22, 2008",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/seibels-bruce-20081222.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Seim Johnson, Llp",Not Specified,,{'Iowa'},UNK,,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Seim_Johnson_LLP_19E0257A7766D.pdf,,2016,7,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
"Seirus Innovative Accessories, Inc.",2015-11-12 00:00:00,1.0,{'Montana'},UNK,,,11/12/2015-11/26/2015,,,,2015-11-26, https://media.dojmt.gov/wp-content/uploads/Seirus-Innovative-Accessories.pdf ,,2016-02-05,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Seiu 32bj,2017-11-13 00:00:00,2.0,{'Montana'},UNK,,,11/13/2017-11/14/2017,,,,2017-11-14, https://media.dojmt.gov/wp-content/uploads/32BJ.pdf ,,2018-05-25,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Seiu Local 32bj,",2018-05-25 00:00:00,,{'New Hampshire'},UNK,,,"May 25, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/seiu-local-32bj-20180525.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Seiu Local 32bj,",2017-11-13 00:00:00,1015.0,{'Delaware'},"['name', 'financial', 'password', 'email', 'address', 'insurance']",,,11/13/17 – 11/14/17,,,,2017-11-14,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/SEUI-Local-32BJ-Sample-Notice.pdf,,2018-05-26,1,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://attorneygeneral.delaware.gov/fraud/cpu/securitybreachnotification/database/\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Seiulocal Bj,2017-11-13 00:00:00,161040.0,{'Indiana'},UNK,2018-05-25,,2017-11-13 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Sekisui Diagnostics,",2018-04-26 00:00:00,,{'New Hampshire'},UNK,,,"April 26, 2018",Real Estate,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/sekisui-20180426.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Sekisui Diagnostics,",2018-04-06 00:00:00,194.0,{'Indiana'},UNK,2018-04-13,,2018-04-06 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Sekoworldwide Llc,2017-02-02 00:00:00,256.0,{'Indiana'},UNK,2017-02-15,,2017-02-02 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Select Restaurants, Inc.",2016-10-26 00:00:00,,{'California'},UNK,,,"10/26/2016, 01/05/2017",Restaurants,,www.yum.com,2017-01-05,https://oag.ca.gov/ecrime/databreach/reports/sb24-72488,,2017-06-09,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Self Loan,",2014-09-19 00:00:00,,{'New Hampshire'},UNK,,,"September 19, 2014",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/self-loan-20140919.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Self Regional Healthcare,",2014-07-25 00:00:00,,{'New Hampshire'},UNK,,,"July 25, 2014",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/self-regional-healthcare-20140725.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Selke, Dr. Melissa D.,",2015-12-12 00:00:00,,{'New Hampshire'},UNK,,,"December 12, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/melissa-selke-20161212.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Seneca High School,2016-01-22 00:00:00,1.0,{'Montana'},UNK,,,1/22/2016-1/22/2016,,,,2016-01-22, https://media.dojmt.gov/wp-content/uploads/Seneca-High-School.pdf ,,2016-02-12,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Senior Lifestyle Corporation,2018-11-07 00:00:00,16755.0,{'Indiana'},UNK,2018-12-07,,2018-11-07 00:00:00,Retail,,Target.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Sensata Technologies,",2019-01-30 00:00:00,,{'New Hampshire'},UNK,,,"January 30, 2019",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/sensata-technologies-20180130.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Sentinal Hotel,",2016-11-04 00:00:00,,{'New Hampshire'},UNK,,,"November 04, 2016",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/sentinel-hotel-20161104.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Sentinel Hotel,2016-07-12 00:00:00,7.0,"{'Indiana', 'Oregon', 'Montana'}",UNK,2016-11-04 00:00:00,2016-10-05 00:00:00,7/12/2016,,,,,,,2016-11-04 00:00:00,7,"{""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}"", '{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\', ""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}'}"
Sentry Insurancea Mutual Company,2017-02-01 00:00:00,20.0,{'Indiana'},UNK,2018-06-06,,2017-02-01 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Sequoia Union High School District,2016-02-03 00:00:00,1.0,"{'Indiana', 'California'}",UNK,2016-03-04,,2016-02-03 00:00:00,,,,,,,,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\', ""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Service Alternatives,Not Specified,,{'Iowa'},UNK,,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Service_Alternatives_DA1B2A3429C29.pdf,,2014,7,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
Service Systems Associates,2015-03-24 00:00:00,,{'Washington'},"['license', 'name', 'debit card', 'payment', 'password', 'address', 'identification number']",,,03/24/2015 to 05/20/2015,,,www.netscout.com,2015-05-20 00:00:00,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ServiceSystemAssociatesInc2015-10-13.pdf,,2015-10-13 00:00:00,1,"{""{'https://www.atg.wa.gov/data-breach-notifications'}"", '{""{\'https://www.atg.wa.gov/data-breach-notifications\'}""}'}"
"Service Systems Associates, Inc.",2015-10-13 00:00:00,,{'New Hampshire'},UNK,,,"October 13, 2015",,,www.netscout.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/service-systems-20151013.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Service Systems Associates, Inc.",2015-03-24 00:00:00,,{'California'},UNK,,,"03/24/2015, 05/20/2015",,,www.netscout.com,2015-05-20,https://oag.ca.gov/ecrime/databreach/reports/sb24-58264,,2015-10-13,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Service Systems Associates, Inc.",Not Specified,,{'Iowa'},UNK,,,,,,www.netscout.com,,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Service_Systems_Associat_3284876E8FCFE.pdf,,2015,7,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
Services Systems Associates,2015-03-24 00:00:00,,{'Montana'},UNK,,,3/24/2015-5/20/2015,,,www.netscout.com,2015-05-20, https://media.dojmt.gov/wp-content/uploads/Service-Systems-Associates-SSA.pdf ,,2015-10-13,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Servis One, Inc. Dba Bsi Financial Services",2017-05-31 00:00:00,,{'Oregon'},UNK,2017-09-25 00:00:00,2017-06-01 00:00:00,5/31/2017 - 6/1/2017,,,,2017-06-01 00:00:00,,,2017-09-29 00:00:00,7,"{'{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
"Servis One, Inc. Dba Bsi Financial Services",2017-06-01 00:00:00,,{'California'},UNK,,,06/01/2017,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-102180,,2017-09-27,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Servus Inc,2016-10-28 00:00:00,,{'Indiana'},UNK,2016-03-08,,2016-10-28 00:00:00,Medical Cannabis,,www.auroramj.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Sesenvironmental,2007-05-30 00:00:00,14.0,{'Indiana'},UNK,2018-01-25,,2007-05-30 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Seterus,2018-04-18 00:00:00,2.0,{'Montana'},UNK,,,4/18/2018-4/18/2018,,,,2018-04-18, https://media.dojmt.gov/wp-content/uploads/Seterus.pdf ,,2018-05-10,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Seven Hills Foundation, Inc.,",2016-04-15 00:00:00,,{'New Hampshire'},UNK,,,"April 15, 2016",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/seven-hills-foundation-20160415.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Seventh-day Adventist Church,",2009-01-07 00:00:00,,{'New Hampshire'},UNK,,,"January 07, 2009",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/seventh-day-adventist-20090107.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Sevone,",2016-03-14 00:00:00,,{'New Hampshire'},UNK,,,"March 14, 2016",Network ManagementServer MonitoringApplication Monitoring,,www.SevOne.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/sev-one-20160314.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Sevone,",2016-03-07 00:00:00,513.0,{'Indiana'},UNK,2016-03-14,,2016-03-07 00:00:00,Network ManagementServer MonitoringApplication Monitoring,,www.SevOne.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Sgsnorth America Inc,2018-02-26 00:00:00,383.0,{'Indiana'},UNK,2018-06-29,,2018-02-26 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Shamrock Financial Corporation,",2017-12-08 00:00:00,,{'New Hampshire'},UNK,,,"December 08, 2017",Oil and gas,,www.valero.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/shamrock-financial-20171208.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Shared Imaging,2017-01-31 00:00:00,197.0,{'Indiana'},UNK,2017-02-02,,2017-01-31 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Sharon J. Jones, M.d.",2015-03-20 00:00:00,,{'California'},UNK,,,03/20/2015,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-55986,,2015-05-19,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Sharp Memorial Hospital,2017-02-06 00:00:00,,{'California'},UNK,,,02/06/2017,,,www.sharp.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-101339,,2017-08-25,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Sharper Future,2014-03-29 00:00:00,,{'California'},UNK,,,03/29/2014,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-45269,,2014-05-28,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Shaw's Supermarket Inc., Salem Nh,",2007-05-11 00:00:00,,{'New Hampshire'},UNK,,,"May 11, 2007",Grocery,"DeMoulas Supermarkets, Inc.",shopmarketbasket.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/shaws-salem-20070511.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Sheet Metal Workers National Pension Fund,2018-06-06 00:00:00,940.0,{'Indiana'},UNK,2018-06-28,,2018-06-06 00:00:00,BankingFinancial services,,BNYMellon.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Sheet Metal Workers' Local Union 104,2016-10-03 00:00:00,29.0,{'Montana'},UNK,,,10/3/2016-10/3/2016,,,,2016-10-03, https://media.dojmt.gov/wp-content/uploads/Sheet-Metal-Workers-Local-Union-104.pdf ,,2016-12-30,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Sheet Metal Workers’ Local Union No. 104,2019-02-05 00:00:00,,{'California'},UNK,,,02/05/2019,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-145499,,2019-03-18,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Shein,2018-09-21 00:00:00,,{'New Hampshire'},UNK,,,"September 21, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/shein-20180921.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Shein,2018-06-01 00:00:00,6420000.0,"{'California', 'Washington', 'Oregon', 'Indiana', 'Montana'}",UNK,2018-09-21 00:00:00,2018-08-08 00:00:00,6/1/2018 - 6/1/2018,,,,2018-06-01 00:00:00,,,2018-10-11 00:00:00,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\', ""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\', ""{\'https://www.atg.wa.gov/data-breach-notifications\', \'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/', 'https://www.atg.wa.gov/data-breach-notifications'}""}"
Shein,Not Specified,,{'Iowa'},['password'],,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/101018__Shein_66BCAC87CB54B.pdf,,2018-10-10 00:00:00,1,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
"Sheldon M. Golden O.d., Optometric Corporation",2017-11-06 00:00:00,,{'California'},UNK,,,11/06/2017,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-131261,,2017-12-19,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Shell Vacations Club Llc,Not Specified,,{'Iowa'},UNK,,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Shell_Vacations_Club_LLC_2493D85AE8348.pdf,,2015,7,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
"Shell Vacations Club,",2015-03-17 00:00:00,,{'New Hampshire'},UNK,,,"March 17, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/shell-vacations-club-20150317.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Sheltered Wings, Inc",2018-12-06 00:00:00,2.0,{'Montana'},UNK,,,12/06/2018-12/21/2018,,,,2018-12-21,https://media.dojmt.gov/wp-content/uploads/CON-Montana-Individual-Reporting-Letter-Template.pdf,,2019-02-19,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Shg Planning,Not Specified,,{'Vermont'},UNK,2018-11-28 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/11/28/shg-planning-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"Shire Human Genetic Therapies, Inc.",2015-12-30 00:00:00,5635.0,"{'Indiana', 'Montana'}",UNK,,,12/30/2015-1/11/2016,,,,2016-01-11, https://media.dojmt.gov/wp-content/uploads/Shire-Human-Genetic-Therapies-Inc.pdf ,,2016-02-08,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Shock Doctor Inc,2016-09-05 00:00:00,2420.0,{'Indiana'},UNK,2017-05-01,,2016-09-05 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Shock Doctor,",2017-05-01 00:00:00,,{'New Hampshire'},UNK,,,"May 01, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/shock-doctor-20170501.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Shoe Station,2017-04-27 00:00:00,3.0,{'Montana'},UNK,,,4/27/2017-6/16/2017,,,,2017-06-16, https://media.dojmt.gov/wp-content/uploads/Shoe-Station.pdf ,,2017-08-08,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Shoe Station, Inc.,",2017-08-08 00:00:00,,{'New Hampshire'},UNK,,,"August 08, 2017","Wholesale Trade, Retail & Consumer Services, Clothing & Clothing Accessories",,,,https://www.doj.nh.gov/consumer/security-breaches/documents/shoe-station-20170808.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Shoe Station, Inc.,",2017-04-27 00:00:00,3379.0,{'Indiana'},UNK,2017-08-08,,2017-04-27 00:00:00,"Wholesale Trade, Retail & Consumer Services, Clothing & Clothing Accessories",,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Shoe Station, Inc.,",2018-07-14 00:00:00,216.0,{'Indiana'},UNK,2018-10-03,,2018-07-14 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Shoes West Distribution Inc.,",2016-05-27 00:00:00,,{'New Hampshire'},UNK,,,"May 27, 2016",Footwear,,dansko.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/shoes-west-20160527.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
